
info [Tue Apr 18 2017 19:58:40 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 19:58:40 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 19:58:40 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 19:58:40 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 19:58:44 GMT+0900 (KST)]  off

info [Tue Apr 18 2017 20:00:00 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:00:00 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 없습니다.
info [Tue Apr 18 2017 20:00:01 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:00:15 GMT+0900 (KST)]  알람 생성 완료!!

info [Tue Apr 18 2017 20:00:39 GMT+0900 (KST)]  create


info [Tue Apr 18 2017 20:01:44 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:02:00 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:02:03 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:02:09 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:02:17 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:02:17 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 중지 되었습니다.
info [Tue Apr 18 2017 20:02:21 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:02:21 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 중지 되었습니다.
info [Tue Apr 18 2017 20:03:00 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:03:03 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 시작 되었습니다.
info [Tue Apr 18 2017 20:03:03 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:03:04 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 시작 되었습니다.

info [Tue Apr 18 2017 20:08:10 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:08:10 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:08:11 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:08:11 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:08:23 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:08:23 GMT+0900 (KST)]  off

info [Tue Apr 18 2017 20:08:56 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:08:56 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:08:57 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:08:57 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:09:02 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:09:03 GMT+0900 (KST)]  on
